DateTime,Quality status,Resolution code,Net regulation volume,System imbalance,Alpha,Marginal incremental price,Marginal decremental price,Strategic reserve price,Positive imbalance price,Negative imbalance price
2023-01-01T23:45:00+01:00,Validated,PT15M,-192.451,172.693,0.94,175.0,-175.0,,-175.94,-175.94
2023-01-02T00:00:00+01:00,Validated,PT15M,-27.274,59.257,0.0,175.0,-121.41,,-121.41,-121.41
2023-01-02T00:15:00+01:00,Validated,PT15M,-139.652,162.375,0.15,175.0,-172.4,,-172.55,-172.55
2023-01-02T00:30:00+01:00,Validated,PT15M,-193.617,173.263,1.48,175.0,-84.9,,-86.38,-86.38
2023-01-02T00:45:00+01:00,Validated,PT15M,-125.57,105.111,0.0,175.0,-84.9,,-84.9,-84.9
2023-01-02T01:00:00+01:00,Validated,PT15M,88.184,-82.779,0.0,175.0,0.0,,175.0,175.0
2023-01-02T01:15:00+01:00,Validated,PT15M,-25.7,0.92,0.0,175.0,0.0,,0.0,0.0
2023-01-02T01:30:00+01:00,Validated,PT15M,-1.064,2.306,0.0,175.0,0.0,,0.0,0.0
2023-01-02T01:45:00+01:00,Validated,PT15M,-83.058,51.137,0.0,175.0,-53.59,,-53.59,-53.59
2023-01-02T02:00:00+01:00,Validated,PT15M,-27.19,17.91,0.0,175.0,-163.0,,-163.0,-163.0
2023-01-02T02:15:00+01:00,Validated,PT15M,-185.22,210.054,0.65,175.0,-85.73,,-86.38,-86.38
2023-01-02T02:30:00+01:00,Validated,PT15M,-217.308,204.844,2.69,175.0,-84.9,,-87.59,-87.59
2023-01-02T02:45:00+01:00,Validated,PT15M,-179.917,146.814,0.0,175.0,-84.9,,-84.9,-84.9
2023-01-02T03:00:00+01:00,Validated,PT15M,-249.717,237.82,2.14,175.0,-84.9,,-87.04,-87.04
2023-01-02T03:15:00+01:00,Validated,PT15M,-168.041,149.817,0.0,175.0,-87.0,,-87.0,-87.0
2023-01-02T03:30:00+01:00,Validated,PT15M,-105.113,93.568,0.0,175.0,-84.9,,-84.9,-84.9
2023-01-02T03:45:00+01:00,Validated,PT15M,-155.422,149.804,0.0,175.0,-84.9,,-84.9,-84.9
2023-01-02T04:00:00+01:00,Validated,PT15M,-181.899,187.268,1.22,181.23,-105.89,,-107.11,-107.11
2023-01-02T04:15:00+01:00,Validated,PT15M,-45.828,35.614,0.0,180.35,-87.0,,-87.0,-87.0
2023-01-02T04:30:00+01:00,Validated,PT15M,-28.842,32.744,0.0,175.0,-84.9,,-84.9,-84.9
2023-01-02T04:45:00+01:00,Validated,PT15M,-117.975,88.521,0.0,175.0,-84.9,,-84.9,-84.9
2023-01-02T05:00:00+01:00,Validated,PT15M,-263.986,380.614,1.9,175.0,-145.83,,-147.73,-147.73
2023-01-02T05:15:00+01:00,Validated,PT15M,-216.303,178.268,0.2,190.36,-197.0,,-197.2,-197.2
2023-01-02T05:30:00+01:00,Validated,PT15M,-120.389,118.869,0.0,175.0,-84.9,,-84.9,-84.9
2023-01-02T05:45:00+01:00,Validated,PT15M,-82.978,107.796,0.0,175.0,-84.9,,-84.9,-84.9
2023-01-02T06:00:00+01:00,Validated,PT15M,-282.418,651.473,0.0,175.0,-300.0,,-300.0,-300.0
2023-01-02T06:15:00+01:00,Validated,PT15M,-319.164,269.556,0.0,175.0,-300.0,,-300.0,-300.0
2023-01-02T06:30:00+01:00,Validated,PT15M,-185.847,166.916,0.0,175.0,-250.0,,-250.0,-250.0
2023-01-02T06:45:00+01:00,Validated,PT15M,-25.036,12.491,0.0,175.0,-250.0,,-250.0,-250.0
2023-01-02T07:00:00+01:00,Validated,PT15M,-110.816,197.244,0.37,175.0,-125.13,,-125.5,-125.5
2023-01-02T07:15:00+01:00,Validated,PT15M,-156.09,152.39,0.53,175.0,-163.0,,-163.53,-163.53
2023-01-02T07:30:00+01:00,Validated,PT15M,-94.442,78.533,0.0,175.0,-175.0,,-175.0,-175.0
2023-01-02T07:45:00+01:00,Validated,PT15M,-240.59,320.629,2.17,175.0,-95.58,,-97.75,-97.75
2023-01-02T08:00:00+01:00,Validated,PT15M,-359.103,367.09,0.0,175.0,-200.0,,-200.0,-200.0
2023-01-02T08:15:00+01:00,Validated,PT15M,-37.628,6.447,0.0,175.0,-250.0,,-250.0,-250.0
2023-01-02T08:30:00+01:00,Validated,PT15M,-46.414,45.83,0.0,175.0,0.0,,0.0,0.0
2023-01-02T08:45:00+01:00,Validated,PT15M,-60.681,58.633,0.0,175.0,0.0,,0.0,0.0
2023-01-02T09:00:00+01:00,Validated,PT15M,55.75,-64.343,0.0,175.0,-175.0,,175.0,175.0
