,0
429,0.029861271
430,0.030884631
431,0.02531135
432,0.022895303
433,0.020004738
434,0.017191166
435,0.007746581
436,0.0054719225
437,0.005213242
438,0.007150743
439,0.016018093
440,0.03017557
441,0.0544388
442,0.09718656
443,0.1308749
444,0.16164607
445,0.16578329
446,0.20005906
447,0.19268137
448,0.16570306
449,0.18780673
450,0.19993821
451,0.18561694
452,0.20898184
453,0.2696186
454,0.21072227
455,0.19255486
456,0.16760191
457,0.12401857
458,0.07944228
459,0.0740789
460,0.053583708
461,0.06028333
462,0.050199658
463,0.04537753
464,0.032523926
465,0.023453001
466,0.015665626
467,0.014024377
468,0.0068988763
469,0.0053686462
470,0.00379581
471,0.009747196
472,0.021042902
473,0.03406215
474,0.042955417
475,0.05348107
476,0.09883811
477,0.14388278
478,0.17612085
479,0.16749239
480,0.17127949
481,0.15432009
482,0.12744269
483,0.12324936
484,0.15625623
485,0.16153097
486,0.14399573
487,0.11508154
488,0.110380925
489,0.09147847
490,0.0812393
491,0.07414761
492,0.077127576
493,0.07297242
494,0.06293476
495,0.056385808
496,0.026866611
497,0.027700841
498,0.022037746
499,0.016234964
500,0.013081282
501,0.007139232
502,0.0032013077
503,0.03687878
504,0.08322398
505,0.12598762
506,0.16073257
507,0.18390861
508,0.20410609
509,0.22411698
510,0.23954794
511,0.3063549
512,0.33214194
513,0.35854128
514,0.38161546
515,0.3952005
516,0.44544744
517,0.45140177
518,0.4485781
519,0.43202505
520,0.41762835
521,0.3835309
522,0.35565174
523,0.32703167
524,0.29305944
525,0.28317714
526,0.2193906
527,0.19096807
528,0.15611216
529,0.1251334
530,0.09925914
531,0.0675412
532,0.038845114
533,0.014631942
534,0.0
535,0.0
536,0.0068039335
537,0.028785724
538,0.05015444
539,0.07432551
540,0.096815616
541,0.12818208
542,0.15248111
543,0.20366865
544,0.27296054
545,0.33262795
546,0.36668915
547,0.42033392
548,0.44470096
549,0.4420006
550,0.4526804
551,0.47153825
552,0.46938407
553,0.45506722
554,0.4554577
555,0.43792945
556,0.39808047
557,0.3617217
558,0.33147115
559,0.26462802
560,0.22460067
561,0.17040426
562,0.14318447
563,0.10070601
564,0.078620054
565,0.043063577
566,0.016653817
567,0.0023392383
568,0.0
569,0.0
570,0.0045180954
571,0.01759015
572,0.031302974
573,0.04568453
574,0.073334254
575,0.08196159
576,0.10611705
577,0.10432196
578,0.121744186
579,0.1304383
580,0.12783456
581,0.1444681
582,0.1429951
583,0.14302981
584,0.15984839
585,0.16077796
586,0.17643467
587,0.14863572
588,0.1435776
589,0.17952412
590,0.1755918
591,0.15922841
592,0.16417825
593,0.13516824
594,0.11970327
595,0.097312324
596,0.06507532
597,0.043740418
598,0.040292148
599,0.0231461
600,0.016008701
601,0.006102102
602,0.0009604525
603,0.002216857
604,0.008817567
605,0.012158159
606,0.016386343
607,0.024694819
608,0.031153746
609,0.032222755
610,0.034774378
611,0.045904927
612,0.05096049
613,0.046718743
614,0.05412902
615,0.070922956
616,0.09549455
617,0.085135765
618,0.07589686
619,0.08678766
620,0.046861432
621,0.05544338
622,0.05573294
623,0.05086668
624,0.0417975
625,0.037734143
626,0.037873976
627,0.03152692
628,0.028213233
629,0.032668404
630,0.024532203
631,0.02425031
632,0.02747238
633,0.020799756
634,0.018188851
635,0.011930337
636,0.008595578
637,0.004868338
638,0.011123126
