,0
426,0.085792445
427,0.11081732
428,0.07577566
429,0.06413811
430,0.052482508
431,0.0639718
432,0.06173017
433,0.04949198
434,0.037364773
435,0.026935894
436,0.0187301
437,0.0118608065
438,0.0077405293
439,0.004100401
440,0.0046662427
441,0.015022102
442,0.026232528
443,0.03833765
444,0.04861398
445,0.053409573
446,0.063131824
447,0.08878671
448,0.11038619
449,0.15098599
450,0.15200856
451,0.18036562
452,0.22719714
453,0.2273412
454,0.21087262
455,0.21465105
456,0.21141073
457,0.21700874
458,0.1685614
459,0.16558602
460,0.12703595
461,0.077691965
462,0.06602755
463,0.050589938
464,0.032574803
465,0.028749261
466,0.026831739
467,0.017607952
468,0.010863051
469,0.008430427
470,0.006097529
471,0.006229501
472,0.0066595376
473,0.0062535945
474,0.020576974
475,0.038212277
476,0.0589586
477,0.08493601
478,0.107338704
479,0.12407046
480,0.1490722
481,0.17413026
482,0.2110391
483,0.22465351
484,0.252464
485,0.2745752
486,0.27628604
487,0.28456593
488,0.2977458
489,0.31329066
490,0.31671417
491,0.31613833
492,0.31319997
493,0.30467063
494,0.27557173
495,0.2451224
496,0.21780029
497,0.1778386
498,0.14325832
499,0.12147064
500,0.102227405
501,0.0902043
502,0.062589854
503,0.035769295
504,0.016499683
505,0.0038360264
506,0.0
507,0.0028068759
508,0.014616353
509,0.023296585
510,0.028527727
511,0.03364577
512,0.03865055
513,0.040302187
514,0.038032047
515,0.040909186
516,0.03794643
517,0.035014614
518,0.037753895
519,0.04402251
520,0.04845373
521,0.049171917
522,0.052494667
523,0.0503618
524,0.048300773
525,0.058634877
526,0.063587576
527,0.068721026
528,0.0718683
529,0.06891494
530,0.078268394
531,0.082871415
532,0.0762866
533,0.07172819
534,0.07476012
535,0.05454793
536,0.038193773
537,0.017043218
538,0.008680964
539,0.00094269216
540,0.0034730881
541,0.01839798
542,0.027247332
543,0.041539304
544,0.059685383
545,0.07344363
546,0.1058412
547,0.11820277
548,0.16158453
549,0.1531572
550,0.17815739
551,0.19357413
552,0.21281353
553,0.21682993
554,0.22405511
555,0.20175153
556,0.1881595
557,0.20831975
558,0.19073054
559,0.18700257
560,0.1996991
561,0.19023001
562,0.16888118
563,0.14646542
564,0.12531039
565,0.10317581
566,0.08965099
567,0.072378166
568,0.055819053
569,0.036084138
570,0.022384625
571,0.009008957
572,0.0
573,0.0
574,0.011083484
575,0.025431236
576,0.037513923
577,0.049660575
578,0.05904997
579,0.07889502
580,0.10543337
581,0.14676118
582,0.1356841
583,0.17323261
584,0.18955183
585,0.2070258
586,0.21370861
587,0.22285333
588,0.22004044
589,0.21066129
590,0.21448115
591,0.24548742
592,0.19731492
593,0.16480207
594,0.15731934
595,0.12296232
596,0.11612194
597,0.10343377
598,0.08627265
599,0.07828144
600,0.05992484
601,0.047441676
602,0.03723377
603,0.02459649
604,0.01395629
605,0.0060338713
606,0.0019424334
607,0.0026357342
608,0.01073787
609,0.023391902
610,0.035858635
611,0.046360284
612,0.059676353
613,0.07334559
614,0.084568776
615,0.09955821
616,0.09823958
617,0.095336415
618,0.10344089
619,0.11770869
620,0.12587407
621,0.13972503
622,0.1512014
623,0.15298828
624,0.15797356
625,0.15999588
626,0.13810097
627,0.14683944
628,0.1407777
629,0.12851775
630,0.12172171
631,0.10940827
632,0.10554204
633,0.08833278
634,0.066908635
